timestamp,frame_id,target_id,range_m,ambient_temp_c,target_temp_c,delta_t_c,snr_db,netd_mk,detection_confidence,detected,classified,classification_latency_ms,track_error_m,sensor_temp_c,frame_rate_hz,dropped_frame
1779285600000,0,UAS-01,511.4,18.94,22.01,3.08,17.87,21.4,0.988,1,1,31.0,0.17,28.23,30.0,0
1779285600033,1,UAS-02,348.8,19.10,22.09,2.99,18.34,20.9,0.990,1,1,31.0,0.41,28.05,30.0,0
1779285600067,2,GND-VEH-01,566.9,19.06,22.21,3.15,18.10,23.3,0.990,1,1,32.2,0.28,28.12,30.1,0
1779285600100,3,PERSON-01,488.9,18.97,22.03,3.06,17.99,22.0,0.990,1,1,31.0,0.28,27.74,29.8,0
1779285600133,4,UAS-01,474.5,19.03,22.18,3.15,18.83,23.3,0.969,1,1,34.7,0.41,27.87,30.1,0
1779285600167,5,UAS-02,844.2,18.90,21.55,2.65,18.29,19.9,0.990,1,1,31.0,0.25,28.31,29.9,0
1779285600200,6,GND-VEH-01,588.1,19.09,22.44,3.35,17.82,21.8,0.990,1,1,31.0,0.06,28.04,30.1,0
1779285600233,7,PERSON-01,639.5,19.17,22.49,3.32,18.43,22.2,0.990,1,1,31.0,0.19,28.43,30.1,0
1779285600267,8,UAS-01,549.3,18.86,21.87,3.02,18.06,22.2,0.990,1,1,31.0,0.01,28.01,30.1,0
1779285600300,9,UAS-02,361.7,19.03,22.10,3.07,18.66,22.1,0.990,1,1,31.0,0.02,27.45,30.0,0
1779285600333,10,GND-VEH-01,364.8,18.91,22.07,3.16,18.42,22.1,0.990,1,1,31.6,0.16,27.99,29.9,0
1779285600367,11,PERSON-01,308.3,18.94,21.96,3.02,18.37,22.2,0.988,1,1,31.0,0.49,28.20,29.9,0
1779285600400,12,UAS-01,996.4,18.82,21.97,3.15,18.31,24.2,0.987,1,1,31.0,0.18,28.18,30.0,0
1779285600433,13,UAS-02,373.1,19.03,22.32,3.29,18.35,22.3,0.990,1,1,31.0,0.43,28.14,29.9,0
1779285600467,14,GND-VEH-01,496.1,18.95,22.06,3.11,18.73,22.1,0.990,1,1,33.0,0.14,27.96,30.0,0
1779285600500,15,PERSON-01,334.2,18.91,22.23,3.32,19.02,22.2,0.990,1,1,31.0,0.25,28.23,29.9,0
1779285600533,16,UAS-01,307.2,19.07,22.39,3.32,19.02,21.4,0.990,1,1,31.0,0.28,27.97,30.1,0
1779285600567,17,UAS-02,630.2,18.96,22.26,3.30,17.75,21.5,0.990,1,1,32.7,0.08,28.16,29.9,0
1779285600600,18,GND-VEH-01,400.8,18.82,21.82,2.99,17.95,22.2,0.990,1,1,33.1,0.20,28.01,30.0,0
1779285600633,19,PERSON-01,473.7,18.91,22.00,3.10,18.19,22.3,0.990,1,1,31.0,0.04,28.18,30.1,0
1779285600667,20,UAS-01,415.9,18.96,22.47,3.50,18.73,21.5,0.990,1,1,32.1,0.06,27.95,30.1,0
1779285600700,21,UAS-02,704.4,18.80,21.86,3.07,18.45,20.8,0.990,1,1,31.9,0.12,28.17,30.1,0
1779285600733,22,GND-VEH-01,533.4,18.74,22.18,3.44,18.91,21.3,0.990,1,1,31.0,0.27,28.44,30.1,0
1779285600767,23,PERSON-01,405.5,18.81,22.31,3.51,18.39,22.1,0.990,1,1,31.9,0.02,28.29,30.0,0
1779285600800,24,UAS-01,534.9,18.90,21.98,3.08,18.04,22.4,0.990,1,1,31.0,0.16,28.03,30.2,0
1779285600833,25,UAS-02,468.9,19.23,22.30,3.07,18.94,21.2,0.990,1,1,31.0,0.22,28.48,29.9,0
1779285600867,26,GND-VEH-01,611.1,19.31,22.38,3.07,17.89,22.5,0.990,1,1,31.0,0.08,28.20,30.0,0
1779285600900,27,PERSON-01,420.5,18.91,22.12,3.21,18.37,22.4,0.990,1,1,31.0,0.21,27.78,29.8,0
1779285600933,28,UAS-01,406.0,19.05,22.05,3.00,17.59,22.3,0.990,1,1,31.0,0.34,28.45,30.0,0
1779285600967,29,UAS-02,944.8,18.78,21.91,3.12,18.25,21.9,0.990,1,1,31.0,0.18,28.38,30.0,0
1779285601000,30,GND-VEH-01,486.3,19.18,22.11,2.93,17.16,22.1,0.982,1,1,33.0,0.01,28.20,29.8,0
1779285601033,31,PERSON-01,362.6,19.16,22.20,3.04,18.52,21.2,0.990,1,1,31.0,0.18,28.14,30.0,0
1779285601067,32,UAS-01,425.6,19.18,22.34,3.16,18.65,21.3,0.990,1,1,31.4,0.29,28.22,30.1,0
1779285601100,33,UAS-02,463.3,19.14,22.35,3.21,18.00,21.3,0.990,1,1,32.3,0.09,27.91,30.0,0
1779285601133,34,GND-VEH-01,803.3,18.95,22.05,3.10,18.38,21.3,0.989,1,1,31.4,0.29,27.96,30.0,0
1779285601167,35,PERSON-01,362.2,19.13,22.31,3.18,18.62,21.6,0.990,1,1,31.5,0.08,28.02,29.9,0
1779285601200,36,UAS-01,498.9,18.95,22.20,3.25,18.25,23.1,0.974,1,1,31.0,0.50,28.59,29.9,0
1779285601233,37,UAS-02,356.3,18.99,22.06,3.07,18.16,22.5,0.990,1,1,31.0,0.01,28.28,30.0,0
1779285601267,38,GND-VEH-01,320.7,18.88,21.89,3.01,17.81,21.2,0.990,1,1,31.0,0.17,28.42,29.9,0
1779285601300,39,PERSON-01,311.9,19.08,22.20,3.12,18.18,23.3,0.990,1,1,31.5,0.10,28.47,30.0,0
1779285601333,40,UAS-01,462.5,19.05,22.04,2.99,18.29,22.3,0.990,1,1,31.0,0.09,28.52,30.0,0
1779285601367,41,UAS-02,532.7,18.85,22.26,3.41,18.68,22.9,0.970,1,1,31.0,0.31,28.59,30.1,0
1779285601400,42,GND-VEH-01,736.8,18.93,21.72,2.79,17.14,22.2,0.990,1,1,31.0,0.53,27.97,29.9,0
1779285601433,43,PERSON-01,498.5,19.16,22.30,3.14,18.98,21.2,0.972,1,1,31.8,0.04,28.06,30.1,0
1779285601467,44,UAS-01,324.3,18.69,22.05,3.35,18.89,20.9,0.979,1,1,32.1,0.45,27.85,29.9,0
1779285601500,45,UAS-02,382.1,19.23,22.25,3.02,17.70,22.4,0.984,1,1,31.0,0.27,28.68,30.2,0
1779285601533,46,GND-VEH-01,537.6,19.21,22.30,3.10,18.27,21.2,0.990,1,1,32.3,0.12,28.15,30.0,0
1779285601567,47,PERSON-01,447.9,19.23,22.57,3.34,18.48,23.0,0.990,1,1,31.0,0.34,28.20,29.9,0
1779285601600,48,UAS-01,1013.6,18.79,21.74,2.95,18.00,21.0,0.990,1,1,31.0,0.10,28.14,30.0,0
