timestamp,frame_id,target_id,range_m,ambient_temp_c,target_temp_c,delta_t_c,snr_db,netd_mk,detection_confidence,detected,classified,classification_latency_ms,track_error_m,sensor_temp_c,frame_rate_hz,dropped_frame
1779285600000,0,UAS-01,436.4,18.96,21.37,2.41,13.11,27.4,0.934,1,1,44.5,0.03,27.90,29.9,0
1779285600033,1,UAS-02,521.6,18.80,21.43,2.63,13.86,28.1,0.990,1,1,43.0,0.29,28.09,30.1,0
1779285600067,2,GND-VEH-01,363.5,19.24,21.94,2.69,13.99,27.7,0.990,1,1,45.0,0.08,27.96,30.0,0
1779285600100,3,PERSON-01,311.9,18.95,21.47,2.51,14.19,25.6,0.990,1,1,44.6,0.01,27.77,30.1,0
1779285600133,4,UAS-01,577.3,18.98,21.33,2.35,13.46,29.3,0.967,1,1,45.0,0.32,28.06,30.0,0
1779285600167,5,UAS-02,527.3,19.17,21.57,2.40,13.77,28.7,0.975,1,1,42.0,0.13,28.12,29.9,0
1779285600200,6,GND-VEH-01,329.1,18.94,21.58,2.63,13.49,27.4,0.946,1,1,42.0,0.68,28.16,30.1,0
1779285600233,7,PERSON-01,471.3,18.89,21.61,2.72,14.40,28.3,0.990,1,1,43.2,0.07,27.81,30.0,0
1779285600267,8,UAS-01,411.5,18.95,21.54,2.59,13.23,28.4,0.922,1,1,43.0,0.67,28.11,30.1,0
1779285600300,9,UAS-02,849.7,18.93,21.14,2.22,13.25,28.8,0.938,1,1,42.0,0.24,28.34,19.1,1
1779285600333,10,GND-VEH-01,490.4,18.83,21.03,2.20,13.23,28.1,0.918,1,1,42.0,0.74,28.29,30.0,0
1779285600367,11,PERSON-01,596.1,19.05,21.19,2.14,13.05,29.2,0.896,1,1,43.2,0.90,28.59,30.2,0
1779285600400,12,UAS-01,689.3,19.08,21.41,2.33,13.60,28.8,0.197,0,0,42.7,0.00,28.11,30.0,0
1779285600433,13,UAS-02,406.9,19.10,21.34,2.24,12.68,27.2,0.914,1,1,42.0,0.12,28.18,30.0,0
1779285600467,14,GND-VEH-01,350.7,19.09,21.47,2.38,13.83,27.4,0.969,1,1,45.1,0.69,28.56,30.0,0
1779285600500,15,PERSON-01,692.9,18.66,20.76,2.11,12.94,29.3,0.215,0,0,44.0,0.00,28.53,21.7,1
1779285600533,16,UAS-01,811.3,18.71,21.15,2.44,13.46,27.5,0.939,1,1,42.0,0.66,27.74,30.0,0
