timestamp,frame_id,target_id,range_m,ambient_temp_c,target_temp_c,delta_t_c,snr_db,netd_mk,detection_confidence,detected,classified,classification_latency_ms,track_error_m,sensor_temp_c,frame_rate_hz,dropped_frame
1779285600000,0,UAS-01,531.3,18.96,22.11,3.15,21.29,19.9,0.990,1,1,28.2,0.39,28.03,20.8,1
1779285600033,1,UAS-02,467.5,18.99,22.47,3.47,22.44,18.5,0.976,1,1,26.0,0.10,27.72,30.0,0
1779285600067,2,GND-VEH-01,495.4,19.12,22.64,3.52,21.90,19.0,0.990,1,1,26.0,0.09,28.30,30.0,0
1779285600100,3,PERSON-01,702.1,19.14,22.85,3.71,22.68,21.0,0.990,1,1,26.0,0.09,27.61,29.9,0
1779285600133,4,UAS-01,396.8,19.09,22.82,3.73,23.48,18.3,0.990,1,1,26.0,0.29,27.86,30.1,0
1779285600167,5,UAS-02,357.1,18.88,22.51,3.63,21.84,17.9,0.990,1,1,26.7,0.24,28.11,30.0,0
1779285600200,6,GND-VEH-01,672.8,19.02,22.57,3.55,22.12,18.7,0.990,1,1,26.0,0.21,27.82,30.1,0
1779285600233,7,PERSON-01,351.6,19.08,22.36,3.28,22.03,19.5,0.985,1,1,26.2,0.48,27.60,30.0,0
1779285600267,8,UAS-01,316.7,18.80,22.55,3.75,21.80,19.5,0.964,1,1,29.1,0.45,27.94,30.0,0
1779285600300,9,UAS-02,540.0,18.83,22.62,3.79,22.99,18.0,0.990,1,1,26.0,0.15,27.89,30.0,0
1779285600333,10,GND-VEH-01,415.5,19.06,22.53,3.47,22.28,19.2,0.990,1,1,26.0,0.02,28.07,29.9,0
1779285600367,11,PERSON-01,338.5,18.98,22.82,3.84,22.90,17.6,0.988,1,1,26.0,0.15,27.68,30.0,0
1779285600400,12,UAS-01,425.5,18.78,22.12,3.34,21.43,19.5,0.974,1,1,26.0,0.02,28.04,30.0,0
1779285600433,13,UAS-02,323.1,19.08,23.05,3.97,22.16,19.4,0.990,1,1,28.4,0.20,28.05,30.1,0
1779285600467,14,GND-VEH-01,391.4,19.23,22.61,3.39,21.70,17.8,0.990,1,1,26.0,0.14,27.74,30.1,0
1779285600500,15,PERSON-01,663.4,18.95,22.12,3.17,21.70,20.1,0.988,1,1,27.1,0.36,28.15,29.9,0
1779285600533,16,UAS-01,546.2,19.03,22.58,3.55,22.11,19.4,0.990,1,1,26.0,0.05,27.88,30.2,0
1779285600567,17,UAS-02,401.6,19.02,22.88,3.86,22.12,18.9,0.990,1,1,29.8,0.02,28.08,30.1,0
1779285600600,18,GND-VEH-01,381.9,19.01,22.83,3.82,22.25,19.7,0.990,1,1,28.1,0.07,28.17,30.0,0
1779285600633,19,PERSON-01,551.7,19.21,22.45,3.24,21.65,19.6,0.990,1,1,26.1,0.31,28.15,30.1,0
1779285600667,20,UAS-01,412.3,19.03,22.80,3.77,22.76,18.4,0.990,1,1,26.0,0.10,27.92,30.0,0
1779285600700,21,UAS-02,444.3,18.76,22.13,3.37,21.61,20.0,0.984,1,1,26.0,0.14,27.73,30.0,0
1779285600733,22,GND-VEH-01,429.7,19.20,22.72,3.52,22.52,18.8,0.990,1,1,26.0,0.07,28.35,30.2,0
