timestamp,frame_id,target_id,range_m,ambient_temp_c,target_temp_c,delta_t_c,snr_db,netd_mk,detection_confidence,detected,classified,classification_latency_ms,track_error_m,sensor_temp_c,frame_rate_hz,dropped_frame
1779285600000,0,UAS-01,637.6,19.02,22.13,3.11,19.34,20.3,0.990,1,1,29.0,0.10,27.92,30.1,0
1779285600033,1,UAS-02,321.3,19.31,22.73,3.42,20.10,22.2,0.990,1,1,29.0,0.42,27.81,30.1,0
1779285600067,2,GND-VEH-01,488.9,18.87,22.16,3.29,19.37,21.2,0.990,1,1,29.0,0.37,27.69,30.0,0
1779285600100,3,PERSON-01,368.8,19.14,22.61,3.47,19.54,22.5,0.990,1,1,29.0,0.17,28.31,30.0,0
1779285600133,4,UAS-01,308.5,18.96,22.26,3.31,20.03,21.6,0.990,1,1,30.0,0.67,27.99,30.0,0
1779285600167,5,UAS-02,316.2,19.04,22.38,3.34,19.32,20.7,0.990,1,1,30.1,0.14,28.21,30.0,0
1779285600200,6,GND-VEH-01,942.2,19.01,21.92,2.91,19.09,20.2,0.990,1,1,29.0,0.10,27.86,30.0,0
1779285600233,7,PERSON-01,462.7,18.79,22.00,3.21,19.19,20.1,0.990,1,1,30.4,0.04,27.70,30.1,0
1779285600267,8,UAS-01,450.6,19.40,22.84,3.44,19.20,20.4,0.983,1,1,29.0,0.53,27.67,29.9,0
1779285600300,9,UAS-02,736.3,19.04,22.17,3.13,19.58,20.5,0.982,1,1,29.4,0.21,28.07,30.0,0
1779285600333,10,GND-VEH-01,609.9,18.98,22.19,3.21,19.57,20.8,0.990,1,1,31.5,0.16,27.83,30.1,0
1779285600367,11,PERSON-01,710.3,19.13,22.29,3.16,19.62,21.2,0.990,1,1,29.0,0.27,28.15,29.9,0
1779285600400,12,UAS-01,638.3,19.24,22.57,3.33,19.74,20.5,0.990,1,1,29.0,0.34,28.23,30.0,0
1779285600433,13,UAS-02,743.9,18.98,22.24,3.26,19.29,22.6,0.976,1,1,30.3,0.00,28.06,30.1,0
1779285600467,14,GND-VEH-01,443.0,18.89,22.19,3.31,19.52,19.8,0.990,1,1,29.0,0.09,28.01,29.9,0
1779285600500,15,PERSON-01,305.2,19.19,22.22,3.04,19.08,21.5,0.990,1,1,29.0,0.16,27.70,30.1,0
1779285600533,16,UAS-01,561.7,19.01,22.06,3.04,19.08,21.4,0.988,1,1,29.0,0.08,28.18,30.2,0
1779285600567,17,UAS-02,708.4,18.88,22.13,3.25,19.21,21.2,0.990,1,1,29.0,0.29,28.08,30.0,0
1779285600600,18,GND-VEH-01,406.5,18.94,22.52,3.58,20.68,19.8,0.987,1,1,29.6,0.47,28.21,30.0,0
1779285600633,19,PERSON-01,393.4,18.97,22.07,3.10,19.85,21.4,0.990,1,1,29.0,0.19,27.94,30.0,0
1779285600667,20,UAS-01,665.3,18.91,22.48,3.56,19.54,20.7,0.990,1,1,29.0,0.08,28.19,30.0,0
1779285600700,21,UAS-02,789.7,19.06,22.11,3.05,19.52,21.1,0.969,1,1,31.9,0.00,28.43,29.9,0
1779285600733,22,GND-VEH-01,379.4,19.10,22.29,3.19,18.89,21.3,0.990,1,1,30.5,0.30,27.97,30.0,0
1779285600767,23,PERSON-01,669.9,18.90,21.99,3.09,19.50,21.0,0.990,1,1,29.5,0.37,28.41,30.0,0
1779285600800,24,UAS-01,625.6,18.82,22.24,3.42,19.95,21.5,0.990,1,1,29.0,0.13,28.03,29.8,0
1779285600833,25,UAS-02,566.8,18.97,22.07,3.10,19.85,20.5,0.990,1,1,31.1,0.59,27.73,30.0,0
1779285600867,26,GND-VEH-01,1033.6,18.90,21.95,3.05,19.35,20.1,0.967,1,1,29.0,0.00,27.88,30.1,0
1779285600900,27,PERSON-01,539.7,18.93,22.22,3.29,19.48,22.2,0.990,1,1,31.8,0.45,27.98,30.0,0
1779285600933,28,UAS-01,508.6,19.08,22.19,3.10,19.76,21.2,0.990,1,1,29.0,0.13,28.34,30.1,0
1779285600967,29,UAS-02,444.7,18.97,22.15,3.18,19.59,21.0,0.984,1,1,29.0,0.21,27.73,29.9,0
1779285601000,30,GND-VEH-01,464.4,19.12,22.42,3.30,20.33,20.4,0.988,1,1,29.0,0.07,28.29,30.0,0
1779285601033,31,PERSON-01,459.0,19.01,22.23,3.23,19.78,20.7,0.990,1,1,31.9,0.54,28.27,29.9,0
1779285601067,32,UAS-01,417.7,19.12,22.53,3.40,19.96,20.5,0.975,1,1,29.0,0.00,27.93,30.0,0
1779285601100,33,UAS-02,418.4,18.74,21.99,3.25,19.45,20.0,0.990,1,1,29.0,0.04,27.86,30.0,0
1779285601133,34,GND-VEH-01,319.2,18.92,22.37,3.45,19.85,20.8,0.990,1,1,29.0,0.04,28.31,30.1,0
1779285601167,35,PERSON-01,333.7,19.18,22.61,3.43,19.75,21.4,0.981,1,1,31.9,0.14,28.10,30.0,0
1779285601200,36,UAS-01,593.5,19.06,22.23,3.18,19.26,19.8,0.990,1,1,29.3,0.38,27.86,29.9,0
1779285601233,37,UAS-02,525.1,18.88,22.16,3.29,19.66,19.8,0.990,1,1,29.0,0.08,28.09,30.0,0
