timestamp,frame_id,target_id,range_m,ambient_temp_c,target_temp_c,delta_t_c,snr_db,netd_mk,detection_confidence,detected,classified,classification_latency_ms,track_error_m,sensor_temp_c,frame_rate_hz,dropped_frame
1779285600000,0,UAS-01,428.6,19.08,22.44,3.36,21.52,17.5,0.989,1,1,27.1,0.10,28.24,30.0,0
1779285600033,1,UAS-02,413.6,19.18,22.88,3.70,21.80,19.2,0.990,1,1,27.0,0.17,28.14,30.0,0
1779285600067,2,GND-VEH-01,391.3,18.71,22.30,3.59,21.06,17.7,0.990,1,1,27.0,0.19,28.43,30.1,0
1779285600100,3,PERSON-01,515.5,18.79,22.15,3.36,21.76,18.2,0.990,1,1,27.0,0.29,28.03,30.1,0
1779285600133,4,UAS-01,366.5,18.86,22.70,3.85,21.29,19.5,0.990,1,1,31.3,0.04,28.23,29.9,0
1779285600167,5,UAS-02,608.1,18.78,22.18,3.41,20.83,18.2,0.990,1,1,27.0,0.04,27.93,29.9,0
1779285600200,6,GND-VEH-01,416.3,19.02,22.48,3.46,21.45,18.9,0.981,1,1,27.0,0.40,28.22,29.9,0
1779285600233,7,PERSON-01,340.7,18.96,22.23,3.27,21.51,16.8,0.990,1,1,27.0,0.59,27.92,29.9,0
1779285600267,8,UAS-01,774.5,19.11,22.74,3.63,21.55,17.1,0.990,1,1,27.3,0.43,27.80,30.0,0
1779285600300,9,UAS-02,408.2,18.93,22.78,3.85,21.83,18.6,0.982,1,1,28.6,0.31,27.89,30.2,0
1779285600333,10,GND-VEH-01,461.0,19.03,22.75,3.72,22.83,17.2,0.990,1,1,27.8,0.08,28.33,30.0,0
1779285600367,11,PERSON-01,754.1,18.73,22.15,3.42,21.04,18.1,0.990,1,1,27.5,0.28,28.22,29.9,0
1779285600400,12,UAS-01,733.9,19.03,22.41,3.38,20.77,18.2,0.990,1,1,27.4,0.05,27.62,30.1,0
1779285600433,13,UAS-02,494.0,19.19,22.41,3.23,20.50,17.2,0.990,1,1,27.0,0.09,28.03,30.0,0
