timestamp,frame_id,target_id,range_m,ambient_temp_c,target_temp_c,delta_t_c,snr_db,netd_mk,detection_confidence,detected,classified,classification_latency_ms,track_error_m,sensor_temp_c,frame_rate_hz,dropped_frame
1779285600000,0,UAS-01,513.6,19.08,22.42,3.34,18.05,24.3,0.990,1,1,31.3,0.01,27.82,30.0,0
1779285600033,1,UAS-02,495.4,19.00,22.56,3.56,18.06,25.1,0.990,1,1,31.0,0.01,28.22,30.0,0
1779285600067,2,GND-VEH-01,556.7,18.84,21.76,2.92,17.10,23.5,0.990,1,1,35.0,0.20,28.24,29.8,0
1779285600100,3,PERSON-01,544.4,18.99,22.26,3.27,18.24,24.5,0.990,1,1,32.6,0.17,28.32,29.9,0
1779285600133,4,UAS-01,531.6,19.36,22.58,3.22,18.40,26.2,0.990,1,1,31.0,0.33,28.43,30.0,0
1779285600167,5,UAS-02,591.0,18.97,21.90,2.93,17.54,23.5,0.986,1,1,32.3,0.26,27.91,30.0,0
1779285600200,6,GND-VEH-01,367.0,19.05,22.27,3.21,17.58,24.0,0.987,1,1,31.0,0.14,27.77,29.9,0
1779285600233,7,PERSON-01,624.2,19.17,22.48,3.31,18.37,25.0,0.990,1,1,31.8,0.40,28.52,30.1,0
1779285600267,8,UAS-01,655.9,18.94,21.90,2.96,17.81,23.0,0.989,1,1,31.0,0.14,28.07,30.1,0
1779285600300,9,UAS-02,400.2,19.16,22.53,3.38,17.46,26.0,0.983,1,1,33.1,0.00,27.90,30.1,0
1779285600333,10,GND-VEH-01,311.5,19.14,22.14,3.00,17.90,24.1,0.990,1,1,31.9,0.01,28.67,29.9,0
1779285600367,11,PERSON-01,381.6,18.79,21.65,2.86,18.24,23.7,0.990,1,1,32.5,0.38,27.87,30.0,0
1779285600400,12,UAS-01,473.5,18.98,22.36,3.37,18.65,23.9,0.990,1,1,31.0,0.18,27.73,30.0,0
1779285600433,13,UAS-02,666.3,18.95,22.27,3.32,18.27,24.1,0.990,1,1,31.1,0.11,28.17,30.0,0
1779285600467,14,GND-VEH-01,411.9,19.00,22.27,3.27,17.85,23.1,0.985,1,1,31.0,0.23,28.34,30.2,0
1779285600500,15,PERSON-01,424.2,18.65,21.56,2.92,17.01,25.5,0.990,1,1,32.9,0.09,27.99,30.2,0
1779285600533,16,UAS-01,527.6,19.00,22.22,3.23,18.88,23.9,0.989,1,1,32.4,0.06,28.22,29.9,0
1779285600567,17,UAS-02,345.7,18.67,21.73,3.06,17.49,25.2,0.990,1,1,33.8,0.51,28.13,30.1,0
1779285600600,18,GND-VEH-01,645.4,18.97,22.19,3.22,18.46,24.1,0.990,1,1,31.0,0.23,28.57,30.1,0
1779285600633,19,PERSON-01,399.1,18.96,22.01,3.05,17.60,24.8,0.990,1,1,32.8,0.23,27.87,30.0,0
1779285600667,20,UAS-01,487.3,18.94,22.15,3.21,18.46,22.8,0.990,1,1,31.0,0.01,28.14,29.9,0
1779285600700,21,UAS-02,781.4,18.88,22.13,3.25,18.22,23.4,0.990,1,1,32.7,0.22,28.06,30.0,0
1779285600733,22,GND-VEH-01,509.9,19.32,22.65,3.32,18.06,25.3,0.990,1,1,34.3,0.00,28.02,30.0,0
1779285600767,23,PERSON-01,328.5,19.21,22.33,3.12,18.14,24.0,0.990,1,1,31.5,0.11,28.56,30.1,0
1779285600800,24,UAS-01,627.6,19.06,22.16,3.10,18.20,23.8,0.990,1,1,31.3,0.27,28.65,21.7,1
1779285600833,25,UAS-02,591.5,18.96,21.97,3.01,17.23,23.2,0.990,1,1,31.9,0.20,27.97,30.0,0
1779285600867,26,GND-VEH-01,394.7,18.96,22.36,3.40,18.12,23.9,0.990,1,1,31.0,0.21,28.34,30.1,0
1779285600900,27,PERSON-01,571.0,19.22,22.50,3.28,18.31,24.8,0.990,1,1,31.6,0.15,28.26,30.0,0
1779285600933,28,UAS-01,301.8,19.12,22.62,3.50,18.48,23.4,0.990,1,1,31.8,0.36,28.47,30.1,0
1779285600967,29,UAS-02,758.1,19.02,22.30,3.28,17.56,24.6,0.967,1,1,34.4,0.08,28.07,30.1,0
