timestamp,frame_id,target_id,range_m,ambient_temp_c,target_temp_c,delta_t_c,snr_db,netd_mk,detection_confidence,detected,classified,classification_latency_ms,track_error_m,sensor_temp_c,frame_rate_hz,dropped_frame
1779285600000,0,UAS-01,374.4,19.03,22.16,3.13,16.93,22.3,0.990,1,1,31.0,0.22,27.81,30.0,0
1779285600033,1,UAS-02,465.2,18.91,22.20,3.29,17.34,22.6,0.990,1,1,31.0,0.03,27.91,29.9,0
1779285600067,2,GND-VEH-01,358.2,19.01,22.28,3.27,17.48,21.3,0.990,1,1,32.4,0.03,28.50,30.2,0
1779285600100,3,PERSON-01,819.1,19.04,22.13,3.09,17.57,20.9,0.990,1,1,31.0,0.17,27.93,30.1,0
1779285600133,4,UAS-01,303.4,18.92,22.07,3.15,16.36,22.4,0.990,1,1,31.0,0.35,27.64,29.9,0
1779285600167,5,UAS-02,703.4,18.90,21.92,3.01,16.75,22.6,0.990,1,1,33.2,0.05,28.23,29.9,0
1779285600200,6,GND-VEH-01,409.3,19.03,22.00,2.97,16.76,22.3,0.981,1,1,31.0,0.40,28.09,29.9,0
1779285600233,7,PERSON-01,414.7,18.97,22.41,3.44,17.34,23.2,0.990,1,1,32.4,0.31,28.06,29.8,0
1779285600267,8,UAS-01,629.5,18.78,21.98,3.20,17.94,22.3,0.986,1,1,32.5,0.13,28.58,30.0,0
1779285600300,9,UAS-02,375.1,18.95,22.33,3.38,17.95,20.8,0.990,1,1,31.8,0.32,27.84,30.0,0
1779285600333,10,GND-VEH-01,754.8,18.97,22.13,3.16,17.36,21.8,0.990,1,1,31.8,0.22,28.17,30.1,0
1779285600367,11,PERSON-01,782.6,19.18,22.02,2.84,17.06,20.6,0.989,1,1,31.0,0.30,28.01,30.0,0
1779285600400,12,UAS-01,367.9,18.84,21.98,3.14,17.53,23.3,0.990,1,1,32.0,0.05,27.87,30.1,0
1779285600433,13,UAS-02,558.4,18.82,22.24,3.43,17.30,21.9,0.990,1,1,31.0,0.30,28.31,30.1,0
1779285600467,14,GND-VEH-01,579.2,18.87,22.15,3.28,16.87,22.4,0.990,1,1,32.3,0.08,28.42,30.1,0
1779285600500,15,PERSON-01,309.3,19.06,22.53,3.47,17.38,21.6,0.990,1,1,34.2,0.12,28.22,30.0,0
1779285600533,16,UAS-01,805.1,18.95,21.98,3.02,17.00,20.4,0.990,1,1,31.0,0.11,28.00,30.0,0
1779285600567,17,UAS-02,674.5,19.18,22.74,3.56,18.33,20.8,0.990,1,1,32.6,0.21,28.07,30.0,0
1779285600600,18,GND-VEH-01,439.7,18.94,22.31,3.37,17.05,21.5,0.990,1,1,31.7,0.14,28.32,30.0,0
1779285600633,19,PERSON-01,554.7,18.93,22.07,3.14,17.15,23.2,0.990,1,1,31.5,0.51,28.40,30.0,0
1779285600667,20,UAS-01,446.5,19.19,22.56,3.37,17.84,22.4,0.982,1,1,31.8,0.29,28.31,29.9,0
1779285600700,21,UAS-02,739.9,19.08,22.19,3.11,17.23,21.8,0.967,1,1,31.0,0.17,28.33,30.1,0
1779285600733,22,GND-VEH-01,312.1,19.12,22.50,3.38,17.96,22.4,0.990,1,1,31.6,0.37,27.93,30.1,0
1779285600767,23,PERSON-01,545.6,19.01,22.39,3.37,17.97,21.8,0.990,1,1,31.7,0.21,27.97,30.1,0
1779285600800,24,UAS-01,684.2,19.04,21.77,2.73,16.91,21.8,0.990,1,1,35.7,0.30,28.08,29.8,0
1779285600833,25,UAS-02,514.7,18.79,21.90,3.10,17.58,22.6,0.980,1,1,31.9,0.16,27.68,29.9,0
1779285600867,26,GND-VEH-01,359.1,19.05,22.51,3.46,17.52,22.4,0.990,1,1,31.0,0.33,27.98,30.1,0
1779285600900,27,PERSON-01,388.4,18.82,22.19,3.36,17.91,20.9,0.990,1,1,31.0,0.21,28.41,30.0,0
1779285600933,28,UAS-01,529.1,19.08,22.37,3.29,17.25,23.0,0.990,1,1,31.0,0.02,27.79,30.0,0
1779285600967,29,UAS-02,663.7,19.20,22.54,3.34,17.86,22.8,0.982,1,1,31.0,0.01,27.75,30.0,0
1779285601000,30,GND-VEH-01,444.9,19.09,22.39,3.29,18.25,22.9,0.989,1,1,32.1,0.48,27.56,30.0,0
1779285601033,31,PERSON-01,606.0,18.94,21.95,3.01,17.09,22.1,0.978,1,1,32.5,0.53,28.56,30.0,0
1779285601067,32,UAS-01,506.8,18.89,22.00,3.12,17.18,22.9,0.990,1,1,31.0,0.06,28.60,30.0,0
1779285601100,33,UAS-02,462.7,19.01,22.27,3.26,17.61,22.4,0.977,1,1,31.8,0.16,27.93,30.0,0
1779285601133,34,GND-VEH-01,608.6,19.09,22.21,3.13,17.54,22.1,0.990,1,1,31.0,0.55,28.38,29.9,0
1779285601167,35,PERSON-01,663.5,19.11,22.28,3.17,17.51,21.5,0.976,1,1,33.2,0.47,28.56,30.0,0
1779285601200,36,UAS-01,690.5,18.96,21.73,2.77,16.39,22.8,0.985,1,1,31.9,0.09,28.29,30.1,0
1779285601233,37,UAS-02,612.4,18.74,21.97,3.23,17.08,22.2,0.990,1,1,31.0,0.01,27.89,29.9,0
1779285601267,38,GND-VEH-01,793.6,19.10,22.30,3.20,17.05,23.5,0.990,1,1,31.0,0.16,27.95,30.1,0
1779285601300,39,PERSON-01,550.5,18.94,22.32,3.39,17.67,22.0,0.990,1,1,31.0,0.19,28.09,29.9,0
1779285601333,40,UAS-01,746.4,18.87,21.75,2.88,16.88,24.0,0.983,1,1,31.7,0.63,28.29,30.0,0
1779285601367,41,UAS-02,666.7,19.14,21.86,2.73,16.23,22.7,0.988,1,1,31.0,0.29,28.15,30.1,0
1779285601400,42,GND-VEH-01,565.4,19.06,21.92,2.86,16.94,22.7,0.990,1,1,31.0,0.61,28.46,29.9,0
1779285601433,43,PERSON-01,422.9,18.85,22.24,3.39,17.14,22.0,0.990,1,1,31.0,0.17,27.97,29.9,0
1779285601467,44,UAS-01,543.3,18.89,22.02,3.13,16.87,23.0,0.990,1,1,31.0,0.09,28.27,30.0,0
1779285601500,45,UAS-02,329.3,19.04,22.25,3.21,17.22,20.7,0.990,1,1,31.0,0.18,28.37,30.0,0
1779285601533,46,GND-VEH-01,703.4,19.10,22.18,3.08,17.70,21.5,0.990,1,1,33.4,0.29,27.50,30.2,0
1779285601567,47,PERSON-01,392.7,19.07,22.40,3.33,17.17,21.2,0.987,1,1,34.0,0.27,28.19,29.9,0
1779285601600,48,UAS-01,393.1,18.89,21.94,3.05,16.69,21.7,0.981,1,1,31.0,0.22,28.01,29.8,0
1779285601633,49,UAS-02,499.1,18.76,21.94,3.18,17.43,21.3,0.990,1,1,31.0,0.38,28.50,30.0,0
1779285601667,50,GND-VEH-01,403.9,18.92,21.96,3.04,17.63,22.3,0.990,1,1,31.0,0.30,27.93,30.0,0
1779285601700,51,PERSON-01,608.1,19.04,21.91,2.87,16.55,21.9,0.990,1,1,31.0,0.12,27.96,30.2,0
1779285601733,52,UAS-01,313.1,19.13,22.64,3.52,17.18,22.9,0.990,1,1,31.0,0.31,28.62,30.0,0
1779285601767,53,UAS-02,410.8,19.09,22.29,3.20,17.45,21.0,0.987,1,1,31.0,0.25,28.38,29.9,0
1779285601800,54,GND-VEH-01,336.2,18.93,22.21,3.28,17.33,20.7,0.990,1,1,31.0,0.31,28.00,30.2,0
1779285601833,55,PERSON-01,496.6,19.10,22.27,3.17,17.05,24.0,0.990,1,1,31.2,0.10,28.59,30.1,0
1779285601867,56,UAS-01,479.0,18.92,22.26,3.34,17.83,22.5,0.990,1,1,31.2,0.07,28.00,29.9,0
1779285601900,57,UAS-02,525.2,18.98,22.05,3.07,16.81,21.6,0.990,1,1,32.6,0.31,28.21,30.0,0
1779285601933,58,GND-VEH-01,886.1,19.23,22.21,2.98,16.94,23.4,0.990,1,1,31.0,0.01,27.90,30.1,0
1779285601967,59,PERSON-01,891.8,18.97,22.19,3.22,17.97,22.1,0.990,1,1,31.0,0.05,28.68,30.2,0
1779285602000,60,UAS-01,305.5,18.91,22.36,3.45,18.21,22.2,0.984,1,1,31.0,0.29,27.86,30.0,0
1779285602033,61,UAS-02,419.8,18.89,22.04,3.15,17.25,21.7,0.990,1,1,31.0,0.44,27.82,30.0,0
1779285602067,62,GND-VEH-01,475.2,19.24,22.60,3.37,17.14,23.2,0.990,1,1,31.3,0.20,28.26,30.2,0
1779285602100,63,PERSON-01,374.2,19.01,22.28,3.26,17.09,22.3,0.990,1,1,31.0,0.02,28.06,30.0,0
1779285602133,64,UAS-01,318.8,19.12,22.62,3.50,17.71,22.1,0.990,1,1,31.0,0.21,28.49,30.1,0
1779285602167,65,UAS-02,726.1,18.97,21.83,2.87,16.67,23.3,0.976,1,1,34.1,0.13,28.13,30.0,0
1779285602200,66,GND-VEH-01,613.6,18.89,21.78,2.89,16.77,23.5,0.990,1,1,31.0,0.16,28.37,30.1,0
1779285602233,67,PERSON-01,610.0,18.96,22.12,3.16,17.89,19.7,0.990,1,1,31.2,0.21,28.12,29.9,0
1779285602267,68,UAS-01,365.7,19.30,22.78,3.48,17.28,21.7,0.990,1,1,33.0,0.07,28.47,29.8,0
1779285602300,69,UAS-02,669.2,18.85,22.03,3.18,16.82,22.7,0.990,1,1,31.0,0.09,28.01,29.9,0
1779285602333,70,GND-VEH-01,311.3,18.77,21.82,3.05,17.42,21.7,0.978,1,1,33.5,0.10,28.02,30.1,0
1779285602367,71,PERSON-01,303.7,19.00,22.40,3.40,17.77,20.9,0.990,1,1,32.6,0.03,28.75,30.0,0
1779285602400,72,UAS-01,611.0,18.70,21.92,3.22,17.72,21.3,0.990,1,1,31.0,0.45,28.33,30.0,0
1779285602433,73,UAS-02,482.5,18.81,22.05,3.24,17.38,22.0,0.990,1,1,31.0,0.20,28.36,30.0,0
1779285602467,74,GND-VEH-01,643.3,19.07,22.09,3.01,17.23,20.2,0.990,1,1,31.0,0.13,28.19,29.9,0
1779285602500,75,PERSON-01,323.1,19.10,22.28,3.18,16.69,22.2,0.990,1,1,31.0,0.01,28.30,30.0,0
1779285602533,76,UAS-01,310.9,19.00,22.30,3.29,17.70,21.7,0.990,1,1,31.9,0.09,28.06,29.9,0
1779285602567,77,UAS-02,346.6,18.97,21.97,3.00,16.57,21.9,0.990,1,1,31.5,0.04,28.52,29.9,0
1779285602600,78,GND-VEH-01,555.3,18.89,21.86,2.97,17.62,22.0,0.983,1,1,31.0,0.26,28.41,29.8,0
1779285602633,79,PERSON-01,345.8,18.72,21.92,3.20,17.13,23.8,0.983,1,1,31.4,0.02,28.56,29.9,0
1779285602667,80,UAS-01,437.5,18.97,22.21,3.24,17.21,22.6,0.990,1,1,31.0,0.22,28.57,29.9,0
