timestamp,frame_id,target_id,range_m,ambient_temp_c,target_temp_c,delta_t_c,snr_db,netd_mk,detection_confidence,detected,classified,classification_latency_ms,track_error_m,sensor_temp_c,frame_rate_hz,dropped_frame
1779285600000,0,UAS-01,417.6,18.97,21.96,2.99,18.41,21.6,0.990,1,1,42.3,0.33,28.22,30.1,0
1779285600033,1,UAS-02,387.4,19.01,22.12,3.11,18.42,22.0,0.973,1,1,40.0,0.04,27.85,30.0,0
1779285600067,2,GND-VEH-01,733.6,19.08,22.03,2.95,17.86,23.6,0.990,1,1,40.0,0.14,28.06,30.0,0
1779285600100,3,PERSON-01,747.9,18.84,21.84,3.00,17.43,23.6,0.990,1,1,40.0,0.14,28.35,30.0,0
1779285600133,4,UAS-01,348.6,19.11,22.48,3.36,18.93,21.5,0.987,1,1,41.2,0.00,27.70,30.1,0
1779285600167,5,UAS-02,424.9,18.81,21.69,2.88,17.70,21.5,0.972,1,1,42.0,0.14,28.31,30.0,0
1779285600200,6,GND-VEH-01,498.8,19.13,22.43,3.31,18.31,23.7,0.990,1,1,40.3,0.15,28.25,30.0,0
1779285600233,7,PERSON-01,791.4,18.66,21.58,2.92,17.42,22.8,0.990,1,1,42.5,0.46,27.95,30.1,0
1779285600267,8,UAS-01,420.0,19.09,22.08,2.99,18.06,22.1,0.990,1,1,40.0,0.39,28.07,30.0,0
1779285600300,9,UAS-02,759.8,18.91,22.18,3.27,18.45,23.3,0.990,1,1,177.8,0.23,27.81,29.9,0
1779285600333,10,GND-VEH-01,742.9,18.94,21.90,2.96,17.88,21.0,0.990,1,1,40.0,0.15,27.99,29.9,0
1779285600367,11,PERSON-01,426.4,19.05,22.27,3.21,18.63,21.0,0.990,1,1,40.4,0.13,27.69,30.2,0
1779285600400,12,UAS-01,831.9,18.98,21.90,2.92,17.61,21.7,0.990,1,1,41.1,0.21,27.85,29.9,0
1779285600433,13,UAS-02,539.6,19.33,22.58,3.24,17.34,22.5,0.990,1,1,40.0,0.00,27.89,30.0,0
1779285600467,14,GND-VEH-01,437.4,18.96,21.74,2.79,17.10,21.4,0.990,1,1,41.3,0.20,28.08,29.8,0
1779285600500,15,PERSON-01,495.4,19.04,21.96,2.92,17.98,22.1,0.990,1,1,118.0,0.21,27.74,30.0,0
1779285600533,16,UAS-01,443.2,19.25,22.28,3.03,18.01,20.3,0.990,1,1,163.5,0.21,28.06,30.1,0
1779285600567,17,UAS-02,720.6,19.12,22.57,3.45,19.12,19.9,0.977,1,1,153.6,0.17,28.17,30.0,0
1779285600600,18,GND-VEH-01,465.0,18.86,21.70,2.84,18.22,21.3,0.990,1,1,41.8,0.29,27.99,29.9,0
1779285600633,19,PERSON-01,414.0,18.89,22.11,3.22,18.05,23.0,0.990,1,1,40.0,0.36,28.07,30.0,0
1779285600667,20,UAS-01,502.2,19.03,22.44,3.41,18.78,21.5,0.990,1,1,40.0,0.05,27.94,30.0,0
1779285600700,21,UAS-02,537.0,19.04,22.31,3.26,18.35,21.0,0.990,1,1,40.5,0.27,27.78,29.9,0
1779285600733,22,GND-VEH-01,422.1,18.69,21.56,2.87,17.96,23.2,0.990,1,1,40.0,0.57,28.18,30.0,0
1779285600767,23,PERSON-01,341.4,19.01,22.24,3.23,18.01,23.4,0.990,1,1,182.6,0.02,28.08,30.0,0
1779285600800,24,UAS-01,580.2,18.74,21.68,2.93,18.53,21.9,0.990,1,1,41.2,0.09,27.94,30.0,0
1779285600833,25,UAS-02,805.2,19.21,22.49,3.27,18.49,22.5,0.975,1,1,41.9,0.08,28.52,30.0,0
1779285600867,26,GND-VEH-01,450.2,19.10,22.18,3.08,18.39,21.7,0.990,1,1,40.2,0.18,28.05,29.9,0
1779285600900,27,PERSON-01,353.6,19.15,22.32,3.16,18.49,21.5,0.990,1,1,40.0,0.71,27.81,29.9,0
1779285600933,28,UAS-01,324.7,18.68,22.01,3.33,18.38,22.5,0.990,1,1,40.0,0.07,28.10,29.9,0
1779285600967,29,UAS-02,622.4,19.14,22.10,2.95,18.25,20.8,0.990,1,1,41.6,0.05,28.04,30.0,0
