timestamp,frame_id,target_id,range_m,ambient_temp_c,target_temp_c,delta_t_c,snr_db,netd_mk,detection_confidence,detected,classified,classification_latency_ms,track_error_m,sensor_temp_c,frame_rate_hz,dropped_frame
1779285600000,0,UAS-01,406.5,19.18,22.43,3.25,17.93,21.5,0.990,1,1,31.5,0.47,28.08,30.0,0
1779285600033,1,UAS-02,435.2,19.07,22.19,3.13,17.77,22.8,0.990,1,1,31.0,0.29,27.76,30.2,0
1779285600067,2,GND-VEH-01,500.1,19.15,22.01,2.86,18.36,19.7,0.984,1,1,31.0,0.08,28.43,29.9,0
1779285600100,3,PERSON-01,500.5,19.03,22.04,3.00,17.80,22.5,0.990,1,1,34.4,0.24,27.78,30.1,0
1779285600133,4,UAS-01,473.7,18.97,22.01,3.03,18.20,22.1,0.990,1,1,31.0,0.30,27.63,19.8,1
1779285600167,5,UAS-02,703.0,19.10,22.31,3.21,18.50,21.0,0.976,1,1,31.0,0.16,28.20,30.0,0
1779285600200,6,GND-VEH-01,850.5,18.91,22.00,3.09,18.06,20.6,0.990,1,1,32.9,0.05,28.41,29.9,0
1779285600233,7,PERSON-01,700.2,19.03,21.84,2.81,17.51,21.6,0.990,1,1,31.0,0.25,28.14,30.0,0
1779285600267,8,UAS-01,447.7,18.81,22.01,3.19,18.67,21.4,0.990,1,1,31.0,0.09,28.02,30.2,0
1779285600300,9,UAS-02,585.3,18.97,22.08,3.12,18.09,20.3,0.990,1,1,31.0,0.17,27.99,22.2,1
1779285600333,10,GND-VEH-01,569.5,19.28,22.48,3.20,17.94,22.6,0.985,1,1,32.8,0.08,28.17,30.1,0
1779285600367,11,PERSON-01,578.0,19.07,22.16,3.09,18.04,21.7,0.974,1,1,31.0,0.17,27.89,29.8,0
1779285600400,12,UAS-01,462.9,18.94,21.88,2.94,17.84,21.4,0.989,1,1,31.0,0.16,27.70,29.9,0
1779285600433,13,UAS-02,318.8,19.06,22.37,3.32,18.80,22.9,0.990,1,1,31.0,0.17,27.91,30.0,0
1779285600467,14,GND-VEH-01,400.3,18.86,22.25,3.39,18.50,21.2,0.990,1,1,33.3,0.36,27.98,30.0,0
1779285600500,15,PERSON-01,546.1,19.02,22.04,3.02,18.25,21.1,0.990,1,1,31.0,0.02,27.71,30.0,0
1779285600533,16,UAS-01,327.7,18.75,21.84,3.09,17.77,22.2,0.990,1,1,31.9,0.07,27.91,30.1,0
1779285600567,17,UAS-02,392.7,19.09,22.12,3.03,18.71,21.1,0.990,1,1,31.0,0.05,28.24,29.9,0
1779285600600,18,GND-VEH-01,644.2,19.01,22.04,3.04,18.42,21.2,0.988,1,1,31.2,0.23,27.99,30.0,0
1779285600633,19,PERSON-01,513.2,18.98,21.86,2.88,18.38,22.0,0.990,1,1,31.0,0.25,27.84,29.9,0
1779285600667,20,UAS-01,642.9,19.00,22.29,3.29,17.92,21.4,0.990,1,1,32.4,0.23,28.22,20.3,1
1779285600700,21,UAS-02,580.1,18.93,22.13,3.20,18.27,21.4,0.985,1,1,31.2,0.09,27.98,30.0,0
1779285600733,22,GND-VEH-01,441.0,19.13,21.96,2.83,17.26,22.9,0.990,1,1,31.0,0.34,28.37,30.1,0
1779285600767,23,PERSON-01,551.4,19.06,22.41,3.35,19.31,22.5,0.990,1,1,31.0,0.46,28.07,30.0,0
1779285600800,24,UAS-01,402.1,19.00,22.08,3.09,18.49,23.1,0.987,1,1,31.0,0.37,27.97,30.0,0
1779285600833,25,UAS-02,662.3,19.02,22.33,3.31,17.80,22.8,0.990,1,1,31.1,0.33,27.91,29.9,0
