timestamp,frame_id,target_id,range_m,ambient_temp_c,target_temp_c,delta_t_c,snr_db,netd_mk,detection_confidence,detected,classified,classification_latency_ms,track_error_m,sensor_temp_c,frame_rate_hz,dropped_frame
1779285600000,0,UAS-01,523.8,19.06,21.79,2.73,16.60,20.5,0.964,1,1,31.0,0.25,28.31,29.9,0
1779285600033,1,UAS-02,444.1,19.04,21.52,2.48,16.18,22.6,0.990,1,1,31.4,0.04,27.84,30.1,0
1779285600067,2,GND-VEH-01,434.5,18.86,21.63,2.77,16.00,21.6,0.990,1,1,31.0,0.68,27.85,30.1,0
1779285600100,3,PERSON-01,311.4,18.63,21.60,2.97,16.94,21.3,0.981,1,1,31.6,0.56,28.00,30.0,0
1779285600133,4,UAS-01,711.0,18.97,21.92,2.95,16.84,23.0,0.990,1,1,31.0,0.10,28.04,30.0,0
1779285600167,5,UAS-02,601.7,19.04,21.62,2.58,16.37,22.4,0.990,1,1,31.0,0.13,28.11,29.9,0
1779285600200,6,GND-VEH-01,406.7,19.09,21.98,2.89,16.63,22.8,0.990,1,1,31.0,0.14,28.03,29.8,0
1779285600233,7,PERSON-01,743.3,18.88,21.38,2.49,16.20,22.1,0.984,1,1,34.1,0.02,27.61,30.2,0
1779285600267,8,UAS-01,732.1,18.90,21.57,2.67,17.02,22.0,0.990,1,1,33.8,0.06,27.56,29.9,0
1779285600300,9,UAS-02,521.4,19.04,21.99,2.94,16.84,22.5,0.989,1,1,31.0,0.19,27.74,30.1,0
1779285600333,10,GND-VEH-01,392.1,19.01,22.22,3.21,17.63,20.6,0.167,0,0,31.0,0.00,27.96,30.0,0
1779285600367,11,PERSON-01,409.3,18.91,21.30,2.40,15.60,21.9,0.990,1,1,31.2,0.27,28.19,30.0,0
1779285600400,12,UAS-01,702.8,19.00,22.00,3.00,17.24,21.9,0.990,1,1,31.0,0.00,27.77,29.9,0
1779285600433,13,UAS-02,435.3,18.95,21.61,2.66,16.22,22.4,0.219,0,0,32.2,0.00,27.99,30.0,0
1779285600467,14,GND-VEH-01,465.5,18.93,21.70,2.77,16.58,22.5,0.990,1,1,36.2,0.02,28.18,30.2,0
1779285600500,15,PERSON-01,314.6,18.91,21.73,2.82,16.57,22.6,0.990,1,1,32.9,0.36,28.17,29.9,0
1779285600533,16,UAS-01,492.4,18.98,21.83,2.85,16.90,21.1,0.978,1,1,31.0,0.22,27.97,30.0,0
1779285600567,17,UAS-02,511.0,18.98,21.69,2.71,16.99,20.2,0.990,1,1,34.5,0.02,28.41,30.0,0
1779285600600,18,GND-VEH-01,504.7,18.98,21.86,2.88,17.52,22.1,0.977,1,1,31.0,0.48,28.14,29.9,0
1779285600633,19,PERSON-01,323.0,18.87,21.46,2.58,16.20,21.7,0.975,1,1,31.0,0.07,27.79,29.9,0
1779285600667,20,UAS-01,503.5,18.88,21.52,2.64,16.37,22.6,0.199,0,0,32.4,0.00,27.97,30.0,0
1779285600700,21,UAS-02,388.2,19.04,21.78,2.75,17.00,23.1,0.990,1,1,31.0,0.03,28.04,30.1,0
1779285600733,22,GND-VEH-01,302.7,19.22,21.93,2.71,16.68,20.8,0.990,1,1,31.0,0.06,27.71,30.1,0
1779285600767,23,PERSON-01,606.3,19.09,21.51,2.42,16.18,22.5,0.973,1,1,31.0,0.04,28.28,30.0,0
1779285600800,24,UAS-01,560.1,18.59,21.35,2.76,16.04,20.5,0.990,1,1,32.6,0.15,28.41,30.2,0
1779285600833,25,UAS-02,467.3,19.33,22.11,2.78,16.42,21.8,0.990,1,1,31.0,0.11,28.17,30.0,0
1779285600867,26,GND-VEH-01,766.5,18.94,21.77,2.83,16.72,22.9,0.982,1,1,31.0,0.16,28.01,30.1,0
