timestamp,frame_id,target_id,range_m,ambient_temp_c,target_temp_c,delta_t_c,snr_db,netd_mk,detection_confidence,detected,classified,classification_latency_ms,track_error_m,sensor_temp_c,frame_rate_hz,dropped_frame
1779285600000,0,UAS-01,554.2,18.77,20.58,1.80,10.96,30.8,0.217,0,0,49.5,0.00,28.36,30.2,0
1779285600033,1,UAS-02,443.1,19.01,21.23,2.22,11.56,31.2,0.802,1,1,46.0,1.36,28.40,30.0,0
1779285600067,2,GND-VEH-01,643.9,19.09,21.23,2.14,12.34,29.9,0.873,1,1,46.0,0.42,27.98,29.9,0
1779285600100,3,PERSON-01,661.0,18.90,20.96,2.06,12.43,29.3,0.884,1,1,46.0,0.10,28.14,29.9,0
1779285600133,4,UAS-01,446.0,18.95,21.16,2.21,12.37,28.3,0.865,1,1,46.7,0.59,27.78,30.0,0
1779285600167,5,UAS-02,496.7,19.10,21.24,2.14,11.46,29.4,0.787,1,1,49.2,0.19,28.29,30.1,0
1779285600200,6,GND-VEH-01,346.6,19.15,21.05,1.90,11.12,30.4,0.170,0,0,46.0,0.00,28.05,30.1,0
1779285600233,7,PERSON-01,510.7,19.11,21.21,2.10,11.38,29.9,0.783,1,1,46.0,0.62,28.22,29.9,0
1779285600267,8,UAS-01,399.4,18.77,21.23,2.46,12.98,29.5,0.921,1,1,47.7,0.01,28.38,29.9,0
1779285600300,9,UAS-02,399.4,19.14,21.39,2.25,12.21,29.7,0.174,0,0,48.3,0.00,27.67,30.0,0
1779285600333,10,GND-VEH-01,428.9,18.94,20.97,2.03,11.23,30.3,0.162,0,0,47.2,0.00,28.62,30.1,0
1779285600367,11,PERSON-01,437.8,18.93,21.13,2.20,11.94,30.3,0.837,1,1,46.0,0.02,28.33,29.9,0
1779285600400,12,UAS-01,773.3,18.88,20.97,2.09,11.86,30.3,0.832,1,1,46.0,0.38,28.36,21.0,1
1779285600433,13,UAS-02,800.2,19.17,21.33,2.16,12.15,29.9,0.866,1,1,46.0,0.11,28.16,29.9,0
1779285600467,14,GND-VEH-01,452.1,19.00,21.26,2.26,12.11,29.6,0.185,0,0,47.3,0.00,28.04,30.0,0
1779285600500,15,PERSON-01,341.1,19.20,21.42,2.22,12.36,29.7,0.189,0,0,46.0,0.00,28.15,30.0,0
1779285600533,16,UAS-01,574.1,19.01,21.04,2.03,11.57,29.2,0.793,1,1,50.6,0.22,28.24,30.0,0
1779285600567,17,UAS-02,409.4,18.95,21.02,2.07,11.55,30.3,0.793,1,1,46.0,0.20,28.29,21.5,1
1779285600600,18,GND-VEH-01,480.8,19.01,21.12,2.11,11.13,29.9,0.210,0,0,46.0,0.00,28.61,30.1,0
1779285600633,19,PERSON-01,413.1,18.97,21.09,2.12,12.36,29.1,0.846,1,1,46.0,0.73,28.01,30.1,0
1779285600667,20,UAS-01,598.9,19.13,21.11,1.99,11.98,29.7,0.821,1,1,46.0,0.09,28.57,30.0,0
1779285600700,21,UAS-02,755.4,18.83,20.49,1.66,10.78,29.7,0.190,0,0,48.2,0.00,28.24,30.0,0
1779285600733,22,GND-VEH-01,427.0,19.05,21.08,2.03,11.22,29.6,0.761,1,1,47.9,0.37,28.52,30.0,0
1779285600767,23,PERSON-01,602.2,19.10,21.56,2.46,12.34,30.3,0.866,1,1,46.0,0.77,28.27,30.1,0
1779285600800,24,UAS-01,443.2,18.73,21.07,2.35,12.34,29.7,0.859,1,1,46.0,0.93,28.23,30.0,0
1779285600833,25,UAS-02,520.4,19.14,21.45,2.31,11.64,30.4,0.827,1,1,46.0,0.90,28.38,29.9,0
1779285600867,26,GND-VEH-01,362.1,18.86,21.34,2.49,12.34,29.2,0.840,1,1,46.0,0.20,28.42,30.0,0
1779285600900,27,PERSON-01,563.8,18.77,21.00,2.23,11.87,28.7,0.204,0,0,46.0,0.00,28.80,29.9,0
1779285600933,28,UAS-01,510.7,18.91,21.13,2.22,12.16,30.4,0.836,1,1,46.8,0.18,28.61,29.9,0
1779285600967,29,UAS-02,329.4,18.88,20.95,2.06,11.86,28.8,0.830,1,1,47.9,0.50,28.30,30.1,0
1779285601000,30,GND-VEH-01,686.0,18.96,20.84,1.88,11.01,31.0,0.176,0,0,46.4,0.00,28.50,29.9,0
1779285601033,31,PERSON-01,432.7,18.87,21.15,2.28,12.83,29.5,0.895,1,1,46.0,0.03,28.25,30.1,0
1779285601067,32,UAS-01,739.9,18.92,20.75,1.83,11.24,30.4,0.791,1,1,46.0,0.08,28.46,29.9,0
1779285601100,33,UAS-02,407.5,19.09,21.35,2.26,11.93,29.6,0.829,1,1,109.1,0.20,27.86,30.0,0
1779285601133,34,GND-VEH-01,454.4,18.88,21.27,2.39,11.70,29.7,0.815,1,1,46.0,0.80,28.11,29.9,0
1779285601167,35,PERSON-01,422.2,19.31,21.41,2.10,12.05,30.4,0.859,1,1,46.0,0.14,28.49,30.0,0
1779285601200,36,UAS-01,416.9,18.76,21.11,2.34,12.52,31.0,0.875,1,1,46.8,0.15,27.96,29.9,0
1779285601233,37,UAS-02,445.1,18.83,21.19,2.35,11.78,29.0,0.846,1,1,46.0,0.03,28.79,29.9,0
1779285601267,38,GND-VEH-01,536.0,19.16,21.42,2.26,12.05,30.3,0.819,1,1,46.0,0.81,28.91,30.1,0
1779285601300,39,PERSON-01,316.3,19.07,21.24,2.17,11.45,30.8,0.762,1,1,46.0,0.12,28.32,30.0,0
1779285601333,40,UAS-01,731.6,19.00,21.24,2.23,11.18,30.5,0.181,0,0,46.3,0.00,28.88,30.0,0
1779285601367,41,UAS-02,329.8,18.82,21.06,2.24,12.21,30.2,0.840,1,1,46.3,0.17,28.17,30.1,0
1779285601400,42,GND-VEH-01,322.9,18.95,21.19,2.24,11.55,30.8,0.793,1,1,46.0,0.19,28.11,30.2,0
1779285601433,43,PERSON-01,489.5,18.62,20.73,2.11,11.65,29.5,0.812,1,1,48.8,0.41,28.47,30.0,0
1779285601467,44,UAS-01,512.1,18.87,20.91,2.04,11.56,29.0,0.823,1,1,48.0,0.23,28.78,29.9,0
1779285601500,45,UAS-02,394.1,19.25,21.28,2.03,11.94,30.8,0.173,0,0,46.5,0.00,28.41,30.1,0
