timestamp,frame_id,target_id,range_m,ambient_temp_c,target_temp_c,delta_t_c,snr_db,netd_mk,detection_confidence,detected,classified,classification_latency_ms,track_error_m,sensor_temp_c,frame_rate_hz,dropped_frame
1779285600000,0,UAS-01,449.6,18.94,22.31,3.37,16.30,24.9,0.990,1,1,36.0,0.09,28.15,29.9,0
1779285600033,1,UAS-02,686.3,19.05,21.89,2.83,16.46,24.1,0.990,1,1,36.0,0.27,28.12,29.8,0
1779285600067,2,GND-VEH-01,628.9,18.85,22.01,3.16,16.60,24.0,0.990,1,1,36.0,0.07,27.72,30.1,0
1779285600100,3,PERSON-01,488.8,18.72,21.82,3.10,15.90,24.0,0.990,1,1,36.0,0.04,28.46,30.2,0
1779285600133,4,UAS-01,607.1,18.92,22.01,3.09,16.27,25.1,0.990,1,1,37.3,0.12,27.83,30.0,0
1779285600167,5,UAS-02,600.9,19.06,22.30,3.24,17.35,24.5,0.990,1,1,38.9,0.30,27.75,29.8,0
1779285600200,6,GND-VEH-01,355.0,18.85,22.20,3.35,16.58,23.0,0.990,1,1,36.0,0.01,28.16,30.0,0
1779285600233,7,PERSON-01,708.5,19.08,22.40,3.31,16.83,23.0,0.977,1,1,36.1,0.15,28.15,30.1,0
1779285600267,8,UAS-01,537.1,18.86,22.16,3.31,16.70,25.6,0.990,1,1,36.0,0.18,27.86,30.1,0
1779285600300,9,UAS-02,392.2,18.96,22.28,3.32,16.84,25.0,0.978,1,1,38.0,0.59,27.89,30.0,0
1779285600333,10,GND-VEH-01,426.6,18.81,22.27,3.46,16.83,23.3,0.980,1,1,37.2,0.01,27.78,30.0,0
1779285600367,11,PERSON-01,450.3,19.01,22.07,3.07,16.34,22.6,0.979,1,1,36.0,0.39,27.64,29.8,0
1779285600400,12,UAS-01,384.3,18.83,22.42,3.60,17.92,24.3,0.990,1,1,36.0,0.19,27.88,29.9,0
1779285600433,13,UAS-02,517.8,18.83,21.83,3.00,16.72,24.7,0.990,1,1,36.9,0.16,27.92,30.0,0
1779285600467,14,GND-VEH-01,466.9,19.14,22.20,3.06,16.66,22.9,0.990,1,1,36.0,0.21,27.48,30.1,0
1779285600500,15,PERSON-01,609.5,18.91,22.03,3.11,16.67,23.9,0.990,1,1,36.0,0.56,27.77,30.0,0
1779285600533,16,UAS-01,497.5,18.98,22.03,3.05,16.28,24.4,0.971,1,1,36.0,0.42,28.25,30.1,0
1779285600567,17,UAS-02,339.9,18.84,21.90,3.05,15.95,24.9,0.984,1,1,36.0,0.17,27.71,29.9,0
1779285600600,18,GND-VEH-01,330.6,18.76,21.79,3.03,16.84,23.5,0.990,1,1,38.7,0.32,28.30,30.0,0
1779285600633,19,PERSON-01,417.8,18.82,22.09,3.27,16.38,23.9,0.990,1,1,36.0,0.07,27.84,30.0,0
1779285600667,20,UAS-01,682.8,19.11,22.23,3.12,16.50,23.4,0.990,1,1,36.0,0.02,28.33,30.1,0
1779285600700,21,UAS-02,335.4,18.90,22.38,3.49,16.85,23.4,0.990,1,1,36.0,0.25,28.05,30.1,0
1779285600733,22,GND-VEH-01,358.1,19.07,22.24,3.17,16.61,23.7,0.990,1,1,36.1,0.14,27.78,30.0,0
1779285600767,23,PERSON-01,537.7,19.13,22.47,3.33,17.11,24.9,0.989,1,1,36.0,0.24,27.90,30.0,0
1779285600800,24,UAS-01,772.8,18.97,21.62,2.66,14.73,23.7,0.990,1,1,36.0,0.38,28.17,30.1,0
1779285600833,25,UAS-02,448.8,18.92,21.80,2.87,15.76,23.8,0.976,1,1,37.1,0.28,28.10,30.2,0
1779285600867,26,GND-VEH-01,305.2,18.93,22.45,3.52,17.09,25.4,0.980,1,1,37.7,0.48,28.31,30.0,0
1779285600900,27,PERSON-01,444.6,19.10,22.21,3.11,16.39,24.1,0.983,1,1,37.6,0.26,27.96,30.1,0
1779285600933,28,UAS-01,393.0,19.04,22.28,3.24,15.90,24.6,0.981,1,1,37.8,0.20,28.41,30.1,0
1779285600967,29,UAS-02,437.0,18.82,21.88,3.07,16.64,24.3,0.990,1,1,36.4,0.16,28.10,30.1,0
1779285601000,30,GND-VEH-01,446.9,19.04,22.39,3.35,16.33,25.1,0.986,1,1,36.0,0.46,28.23,30.0,0
1779285601033,31,PERSON-01,581.3,19.13,22.18,3.06,17.37,23.5,0.988,1,1,36.0,0.24,28.00,30.0,0
1779285601067,32,UAS-01,812.9,19.08,22.02,2.95,15.92,24.0,0.990,1,1,36.0,0.28,27.88,30.0,0
1779285601100,33,UAS-02,585.8,19.13,22.03,2.90,15.91,24.4,0.990,1,1,36.0,0.10,28.00,30.1,0
1779285601133,34,GND-VEH-01,452.1,18.82,21.89,3.07,16.52,24.9,0.990,1,1,36.0,0.05,28.21,30.0,0
1779285601167,35,PERSON-01,332.4,18.95,22.16,3.20,16.44,25.2,0.990,1,1,38.0,0.30,27.85,30.0,0
1779285601200,36,UAS-01,632.2,18.60,21.62,3.02,15.43,24.2,0.989,1,1,36.0,0.10,27.97,30.2,0
1779285601233,37,UAS-02,357.6,19.02,22.43,3.41,16.19,23.3,0.986,1,1,36.1,0.03,28.34,30.0,0
1779285601267,38,GND-VEH-01,525.8,18.91,22.01,3.10,16.08,22.6,0.978,1,1,36.9,0.07,28.32,30.0,0
1779285601300,39,PERSON-01,546.6,18.92,21.84,2.92,15.84,24.5,0.987,1,1,36.0,0.10,28.12,30.0,0
